group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean,used_representative_index,used_representative_1_based,weight_slice_count,attempted_representatives,reused_existing_run,group_output_dir,decay_csv,mesh_png
0,0,7,3,8,0.250484375,0.260303125,0.25468085937499996,3,4,8,3,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_000_slice_0003,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_000_slice_0003\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_000_slice_0003_count_008_mesh.png
1,8,12,10,5,0.241628125,0.250146875,0.24660156250000004,10,11,5,10,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_001_slice_0010,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_001_slice_0010\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_001_slice_0010_count_005_mesh.png
2,13,17,15,5,0.23024375,0.2392734375,0.23462062499999997,15,16,5,15,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_002_slice_0015,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_002_slice_0015\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_002_slice_0015_count_005_mesh.png
3,18,33,25,16,0.21919375,0.2287125,0.2233673828125,25,26,16,25,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_003_slice_0025,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_003_slice_0025\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_003_slice_0025_count_016_mesh.png
4,34,49,41,16,0.2268609375,0.2358671875,0.22984384765625,41,42,16,41,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_004_slice_0041,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_004_slice_0041\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_004_slice_0041_count_016_mesh.png
5,50,53,51,4,0.2380015625,0.2451796875,0.24139609374999998,51,52,4,51,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_005_slice_0051,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_005_slice_0051\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_005_slice_0051_count_004_mesh.png
6,54,57,55,4,0.24811875,0.2568,0.2526421875,55,56,4,55,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_006_slice_0055,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_006_slice_0055\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_006_slice_0055_count_004_mesh.png
7,58,62,60,5,0.259225,0.2672703125,0.26320437500000005,60,61,5,60,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_007_slice_0060,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_007_slice_0060\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_007_slice_0060_count_005_mesh.png
8,63,92,77,30,0.2672078125,0.2772015625,0.27129328124999996,77,78,30,77,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_008_slice_0077,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_008_slice_0077\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_008_slice_0077_count_030_mesh.png
9,93,105,99,13,0.2728109375,0.282765625,0.27956947115384617,99,100,13,99,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_009_slice_0099,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_009_slice_0099\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_009_slice_0099_count_013_mesh.png
10,106,109,107,4,0.261715625,0.2698015625,0.26556640625000005,107,108,4,107,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_010_slice_0107,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_010_slice_0107\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_010_slice_0107_count_004_mesh.png
11,110,127,118,18,0.2499484375,0.2593984375,0.25330772569444443,118,119,18,118,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_011_slice_0118,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_011_slice_0118\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_011_slice_0118_count_018_mesh.png
12,128,171,149,44,0.238909375,0.2488828125,0.24407830255681817,149,150,44,149,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_012_slice_0149,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_012_slice_0149\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_012_slice_0149_count_044_mesh.png
13,172,187,179,16,0.2495796875,0.2584859375,0.255096875,179,180,16,179,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_013_slice_0179,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_013_slice_0179\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_013_slice_0179_count_016_mesh.png
14,188,191,189,4,0.238765625,0.2478484375,0.243049609375,190,191,4,"189,190",False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_014_slice_0190,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_014_slice_0190\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_014_slice_0190_count_004_mesh.png
15,192,209,200,18,0.2332609375,0.2425796875,0.23567586805555557,200,201,18,200,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_015_slice_0200,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_015_slice_0200\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_015_slice_0200_count_018_mesh.png
16,210,218,214,9,0.244140625,0.2540796875,0.24973645833333333,214,215,9,214,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_016_slice_0214,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_016_slice_0214\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_016_slice_0214_count_009_mesh.png
17,219,264,241,46,0.2529109375,0.262740625,0.2594260529891304,241,242,46,241,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_017_slice_0241,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_017_slice_0241\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_017_slice_0241_count_046_mesh.png
18,265,283,274,19,0.2494421875,0.2592625,0.2525514802631579,274,275,19,274,False,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_018_slice_0274,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\group_runs\group_018_slice_0274\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\bhg1_bentheimer_porosity_grouped_nmr_mesh96\representative_mesh_figures\group_018_slice_0274_count_019_mesh.png
