slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
0,1,166594,473406,640000,0.260303125
1,2,165647,474353,640000,0.2588234375
2,3,164501,475499,640000,0.2570328125
3,4,163043,476957,640000,0.2547546875
4,5,162060,477940,640000,0.25321875
5,6,161189,478811,640000,0.2518578125
6,7,160622,479378,640000,0.250971875
7,8,160310,479690,640000,0.250484375
8,9,160094,479906,640000,0.250146875
9,10,159511,480489,640000,0.2492359375
10,11,158170,481830,640000,0.247140625
11,12,156708,483292,640000,0.24485625
12,13,154642,485358,640000,0.241628125
13,14,153135,486865,640000,0.2392734375
14,15,151595,488405,640000,0.2368671875
15,16,150057,489943,640000,0.2344640625
16,17,148643,491357,640000,0.2322546875
17,18,147356,492644,640000,0.23024375
18,19,145910,494090,640000,0.227984375
19,20,144665,495335,640000,0.2260390625
20,21,143377,496623,640000,0.2240265625
21,22,141938,498062,640000,0.221778125
22,23,141113,498887,640000,0.2204890625
23,24,140565,499435,640000,0.2196328125
24,25,140401,499599,640000,0.2193765625
25,26,140284,499716,640000,0.21919375
26,27,140605,499395,640000,0.2196953125
27,28,141627,498373,640000,0.2212921875
28,29,142193,497807,640000,0.2221765625
29,30,143125,496875,640000,0.2236328125
30,31,144368,495632,640000,0.225575
31,32,145092,494908,640000,0.22670625
32,33,145643,494357,640000,0.2275671875
33,34,146376,493624,640000,0.2287125
34,35,146910,493090,640000,0.229546875
35,36,147116,492884,640000,0.22986875
36,37,146984,493016,640000,0.2296625
37,38,146627,493373,640000,0.2291046875
38,39,146316,493684,640000,0.22861875
39,40,145713,494287,640000,0.2276765625
40,41,145191,494809,640000,0.2268609375
41,42,145319,494681,640000,0.2270609375
42,43,145843,494157,640000,0.2278796875
43,44,146404,493596,640000,0.22875625
44,45,146810,493190,640000,0.229390625
45,46,147261,492739,640000,0.2300953125
46,47,147925,492075,640000,0.2311328125
47,48,148588,491412,640000,0.23216875
48,49,149639,490361,640000,0.2338109375
49,50,150955,489045,640000,0.2358671875
50,51,152321,487679,640000,0.2380015625
51,52,153539,486461,640000,0.2399046875
52,53,155199,484801,640000,0.2424984375
53,54,156915,483085,640000,0.2451796875
54,55,158796,481204,640000,0.24811875
55,56,160816,479184,640000,0.251275
56,57,162800,477200,640000,0.254375
57,58,164352,475648,640000,0.2568
58,59,165904,474096,640000,0.259225
59,60,167219,472781,640000,0.2612796875
60,61,168496,471504,640000,0.263275
61,62,169582,470418,640000,0.264971875
62,63,171053,468947,640000,0.2672703125
63,64,172617,467383,640000,0.2697140625
64,65,173843,466157,640000,0.2716296875
65,66,174514,465486,640000,0.272678125
66,67,175107,464893,640000,0.2736046875
67,68,175101,464899,640000,0.2735953125
68,69,174110,465890,640000,0.272046875
69,70,173494,466506,640000,0.271084375
70,71,173131,466869,640000,0.2705171875
71,72,173468,466532,640000,0.27104375
72,73,173785,466215,640000,0.2715390625
73,74,174311,465689,640000,0.2723609375
74,75,174472,465528,640000,0.2726125
75,76,174316,465684,640000,0.27236875
76,77,174129,465871,640000,0.2720765625
77,78,173765,466235,640000,0.2715078125
78,79,173247,466753,640000,0.2706984375
79,80,172728,467272,640000,0.2698875
80,81,172346,467654,640000,0.269290625
81,82,172062,467938,640000,0.268846875
82,83,171879,468121,640000,0.2685609375
83,84,171388,468612,640000,0.26779375
84,85,171013,468987,640000,0.2672078125
85,86,171196,468804,640000,0.26749375
86,87,171934,468066,640000,0.268646875
87,88,172858,467142,640000,0.270090625
88,89,173951,466049,640000,0.2717984375
89,90,174849,465151,640000,0.2732015625
90,91,175544,464456,640000,0.2742875
91,92,176264,463736,640000,0.2754125
92,93,177409,462591,640000,0.2772015625
93,94,178431,461569,640000,0.2787984375
94,95,179096,460904,640000,0.2798375
95,96,179898,460102,640000,0.281090625
96,97,180776,459224,640000,0.2824625
97,98,180970,459030,640000,0.282765625
98,99,180638,459362,640000,0.282246875
99,100,180195,459805,640000,0.2815546875
100,101,179833,460167,640000,0.2809890625
101,102,179379,460621,640000,0.2802796875
102,103,178635,461365,640000,0.2791171875
103,104,177455,462545,640000,0.2772734375
104,105,176113,463887,640000,0.2751765625
105,106,174599,465401,640000,0.2728109375
106,107,172673,467327,640000,0.2698015625
107,108,170735,469265,640000,0.2667734375
108,109,168944,471056,640000,0.263975
109,110,167498,472502,640000,0.261715625
110,111,166015,473985,640000,0.2593984375
111,112,165056,474944,640000,0.2579
112,113,163973,476027,640000,0.2562078125
113,114,162952,477048,640000,0.2546125
114,115,162103,477897,640000,0.2532859375
115,116,161735,478265,640000,0.2527109375
116,117,161862,478138,640000,0.252909375
117,118,161877,478123,640000,0.2529328125
118,119,161458,478542,640000,0.252278125
119,120,161254,478746,640000,0.251959375
120,121,161671,478329,640000,0.2526109375
121,122,161790,478210,640000,0.252796875
122,123,161674,478326,640000,0.252615625
123,124,161691,478309,640000,0.2526421875
124,125,161446,478554,640000,0.252259375
125,126,161069,478931,640000,0.2516703125
126,127,160512,479488,640000,0.2508
127,128,159967,480033,640000,0.2499484375
128,129,159285,480715,640000,0.2488828125
129,130,158309,481691,640000,0.2473578125
130,131,157485,482515,640000,0.2460703125
131,132,156463,483537,640000,0.2444734375
132,133,156125,483875,640000,0.2439453125
133,134,156281,483719,640000,0.2441890625
134,135,156564,483436,640000,0.24463125
135,136,156871,483129,640000,0.2451109375
136,137,156724,483276,640000,0.24488125
137,138,156561,483439,640000,0.2446265625
138,139,156512,483488,640000,0.24455
139,140,156766,483234,640000,0.244946875
140,141,156938,483062,640000,0.245215625
141,142,157275,482725,640000,0.2457421875
142,143,157220,482780,640000,0.24565625
143,144,157010,482990,640000,0.245328125
144,145,157149,482851,640000,0.2455453125
145,146,157545,482455,640000,0.2461640625
146,147,157810,482190,640000,0.246578125
147,148,158286,481714,640000,0.247321875
148,149,158633,481367,640000,0.2478640625
149,150,158551,481449,640000,0.2477359375
150,151,157796,482204,640000,0.24655625
151,152,157179,482821,640000,0.2455921875
152,153,156399,483601,640000,0.2443734375
153,154,155798,484202,640000,0.243434375
154,155,155252,484748,640000,0.24258125
155,156,154711,485289,640000,0.2417359375
156,157,154397,485603,640000,0.2412453125
157,158,154073,485927,640000,0.2407390625
158,159,153725,486275,640000,0.2401953125
159,160,153437,486563,640000,0.2397453125
160,161,153123,486877,640000,0.2392546875
161,162,153044,486956,640000,0.23913125
162,163,152902,487098,640000,0.238909375
163,164,153173,486827,640000,0.2393328125
164,165,153585,486415,640000,0.2399765625
165,166,153952,486048,640000,0.24055
166,167,154352,485648,640000,0.241175
167,168,155026,484974,640000,0.242228125
168,169,155989,484011,640000,0.2437328125
169,170,157318,482682,640000,0.245809375
170,171,158466,481534,640000,0.247603125
171,172,159185,480815,640000,0.2487265625
172,173,159731,480269,640000,0.2495796875
173,174,160417,479583,640000,0.2506515625
174,175,161426,478574,640000,0.252228125
175,176,162222,477778,640000,0.253471875
176,177,163036,476964,640000,0.25474375
177,178,163545,476455,640000,0.2555390625
178,179,164234,475766,640000,0.256615625
179,180,164596,475404,640000,0.25718125
180,181,164937,475063,640000,0.2577140625
181,182,165257,474743,640000,0.2582140625
182,183,165431,474569,640000,0.2584859375
183,184,165323,474677,640000,0.2583171875
184,185,164892,475108,640000,0.25764375
185,186,163868,476132,640000,0.25604375
186,187,162408,477592,640000,0.2537625
187,188,160869,479131,640000,0.2513578125
188,189,158623,481377,640000,0.2478484375
189,190,156362,483638,640000,0.244315625
190,191,154412,485588,640000,0.24126875
191,192,152810,487190,640000,0.238765625
192,193,151534,488466,640000,0.236771875
193,194,150664,489336,640000,0.2354125
194,195,149919,490081,640000,0.2342484375
195,196,149434,490566,640000,0.233490625
196,197,149569,490431,640000,0.2337015625
197,198,149497,490503,640000,0.2335890625
198,199,149495,490505,640000,0.2335859375
199,200,149287,490713,640000,0.2332609375
200,201,149339,490661,640000,0.2333421875
201,202,149397,490603,640000,0.2334328125
202,203,149730,490270,640000,0.233953125
203,204,150206,489794,640000,0.234696875
204,205,150389,489611,640000,0.2349828125
205,206,150969,489031,640000,0.2358890625
206,207,152274,487726,640000,0.237928125
207,208,153490,486510,640000,0.239828125
208,209,154542,485458,640000,0.241471875
209,210,155251,484749,640000,0.2425796875
210,211,156250,483750,640000,0.244140625
211,212,157130,482870,640000,0.245515625
212,213,158062,481938,640000,0.246971875
213,214,158997,481003,640000,0.2484328125
214,215,160248,479752,640000,0.2503875
215,216,161143,478857,640000,0.2517859375
216,217,161750,478250,640000,0.252734375
217,218,162291,477709,640000,0.2535796875
218,219,162611,477389,640000,0.2540796875
219,220,163210,476790,640000,0.255015625
220,221,164753,475247,640000,0.2574265625
221,222,166504,473496,640000,0.2601625
222,223,167657,472343,640000,0.2619640625
223,224,168154,471846,640000,0.262740625
224,225,168096,471904,640000,0.26265
225,226,167675,472325,640000,0.2619921875
226,227,167015,472985,640000,0.2609609375
227,228,166478,473522,640000,0.260121875
228,229,166298,473702,640000,0.259840625
229,230,165963,474037,640000,0.2593171875
230,231,165609,474391,640000,0.2587640625
231,232,165360,474640,640000,0.258375
232,233,165850,474150,640000,0.259140625
233,234,166015,473985,640000,0.2593984375
234,235,166413,473587,640000,0.2600203125
235,236,166560,473440,640000,0.26025
236,237,166563,473437,640000,0.2602546875
237,238,166272,473728,640000,0.2598
238,239,165999,474001,640000,0.2593734375
239,240,165728,474272,640000,0.25895
240,241,165696,474304,640000,0.2589
