group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean,used_representative_index,used_representative_1_based,weight_slice_count,attempted_representatives,reused_existing_run,group_output_dir,decay_csv,mesh_png
0,0,1,0,2,0.24891428571428573,0.25626122448979594,0.25258775510204085,0,1,2,0,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_000_slice_0000,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_000_slice_0000\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_000_slice_0000_count_002_mesh.png
1,2,4,3,3,0.263069387755102,0.27154285714285714,0.26811700680272105,3,4,3,3,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_001_slice_0003,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_001_slice_0003\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_001_slice_0003_count_003_mesh.png
2,5,7,6,3,0.27129795918367344,0.28066938775510203,0.2758530612244898,6,7,3,6,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_002_slice_0006,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_002_slice_0006\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_002_slice_0006_count_003_mesh.png
3,8,9,8,2,0.2696081632653061,0.27177142857142855,0.27068979591836734,8,9,2,8,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_003_slice_0008,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_003_slice_0008\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_003_slice_0008_count_002_mesh.png
4,10,11,10,2,0.2746530612244898,0.280734693877551,0.2776938775510204,10,11,2,10,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_004_slice_0010,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_004_slice_0010\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_004_slice_0010_count_002_mesh.png
5,12,14,13,3,0.2652816326530612,0.27048163265306124,0.2677387755102041,13,14,3,13,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_005_slice_0013,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_005_slice_0013\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_005_slice_0013_count_003_mesh.png
6,15,18,16,4,0.2576,0.26195102040816326,0.25986530612244896,16,17,4,16,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_006_slice_0016,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_006_slice_0016\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_006_slice_0016_count_004_mesh.png
7,19,20,19,2,0.2505469387755102,0.2507020408163265,0.25062448979591834,19,20,2,19,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_007_slice_0019,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_007_slice_0019\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_007_slice_0019_count_002_mesh.png
8,21,24,22,4,0.2377877551020408,0.24629387755102042,0.24076530612244898,22,23,4,22,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_008_slice_0022,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_008_slice_0022\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_008_slice_0022_count_004_mesh.png
9,25,29,27,5,0.25204897959183675,0.2580816326530612,0.2553485714285714,27,28,5,27,True,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_009_slice_0027,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\group_runs\group_009_slice_0027\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_mesh96_alpha0p1_quality0\representative_mesh_figures\group_009_slice_0027_count_005_mesh.png
