slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
0,1,30492,92008,122500,0.24891428571428573
1,2,31392,91108,122500,0.25626122448979594
2,3,32226,90274,122500,0.263069387755102
3,4,33043,89457,122500,0.2697387755102041
4,5,33264,89236,122500,0.27154285714285714
5,6,34382,88118,122500,0.28066938775510203
6,7,33760,88740,122500,0.2755918367346939
7,8,33234,89266,122500,0.27129795918367344
8,9,33027,89473,122500,0.2696081632653061
9,10,33292,89208,122500,0.27177142857142855
10,11,34390,88110,122500,0.280734693877551
11,12,33645,88855,122500,0.2746530612244898
12,13,33134,89366,122500,0.27048163265306124
13,14,32763,89737,122500,0.2674530612244898
14,15,32497,90003,122500,0.2652816326530612
15,16,31838,90662,122500,0.2599020408163265
16,17,31851,90649,122500,0.2600081632653061
17,18,32089,90411,122500,0.26195102040816326
18,19,31556,90944,122500,0.2576
19,20,30692,91808,122500,0.2505469387755102
20,21,30711,91789,122500,0.2507020408163265
21,22,29372,93128,122500,0.23977142857142858
22,23,29129,93371,122500,0.2377877551020408
23,24,29303,93197,122500,0.2392081632653061
24,25,30171,92329,122500,0.24629387755102042
25,26,31186,91314,122500,0.2545795918367347
26,27,31395,91105,122500,0.2562857142857143
27,28,31329,91171,122500,0.2557469387755102
28,29,30876,91624,122500,0.25204897959183675
29,30,31615,90885,122500,0.2580816326530612
30,31,32574,89926,122500,0.26591020408163263
31,32,31829,90671,122500,0.2598285714285714
32,33,31850,90650,122500,0.26
33,34,31904,90596,122500,0.2604408163265306
34,35,31476,91024,122500,0.2569469387755102
35,36,31375,91125,122500,0.25612244897959185
36,37,30394,92106,122500,0.2481142857142857
37,38,30142,92358,122500,0.24605714285714286
38,39,30773,91727,122500,0.2512081632653061
39,40,31194,91306,122500,0.25464489795918366
40,41,31019,91481,122500,0.25321632653061227
41,42,30970,91530,122500,0.25281632653061226
42,43,31749,90751,122500,0.25917551020408164
43,44,31517,90983,122500,0.2572816326530612
44,45,31109,91391,122500,0.25395102040816325
45,46,30462,92038,122500,0.24866938775510203
46,47,29227,93273,122500,0.2385877551020408
47,48,30265,92235,122500,0.24706122448979592
48,49,29933,92567,122500,0.24435102040816326
49,50,29749,92751,122500,0.24284897959183674
50,51,30347,92153,122500,0.24773061224489795
51,52,31266,91234,122500,0.2552326530612245
52,53,32451,90049,122500,0.2649061224489796
53,54,32193,90307,122500,0.2628
54,55,31158,91342,122500,0.25435102040816326
55,56,31599,90901,122500,0.25795102040816326
56,57,32418,90082,122500,0.26463673469387755
57,58,32892,89608,122500,0.2685061224489796
58,59,33603,88897,122500,0.27431020408163265
59,60,33484,89016,122500,0.2733387755102041
60,61,33173,89327,122500,0.2708
61,62,33355,89145,122500,0.2722857142857143
62,63,33876,88624,122500,0.27653877551020406
63,64,33215,89285,122500,0.27114285714285713
64,65,32512,89988,122500,0.26540408163265305
65,66,32298,90202,122500,0.26365714285714287
66,67,33300,89200,122500,0.27183673469387754
