slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
90,0.29343673469387754,80,17029,27.0,422.90000000000197,33,2,10.081425350631346
91,0.29377142857142857,86,17020,30.5,410.0,32,2,10.006937991262715
97,0.28224489795918367,86,14304,31.0,692.5,39,7,9.962269139206004
92,0.29128979591836734,80,16422,47.5,515.1000000000001,31,2,9.798974434890667
98,0.2794530612244898,84,14241,28.0,803.9000000000003,38,6,9.791510646271815
94,0.2837387755102041,87,16172,37.0,547.4000000000003,32,5,9.61448814108308
95,0.2900244897959184,87,15491,48.0,563.2,29,4,9.517159772783597
93,0.2855673469387755,83,16105,42.0,588.7999999999998,30,4,9.499355695213465
87,0.2805061224489796,87,12818,45.0,625.0000000000005,33,3,9.356205669144273
63,0.27114285714285713,113,7716,29.0,586.5999999999997,46,7,9.344496047435717
89,0.28877551020408165,81,14517,37.0,474.0,28,4,9.31857855841347
69,0.28263673469387757,85,6795,22.0,762.2000000000005,40,8,9.261692695860134
103,0.2502122448979592,124,8122,26.0,547.5000000000002,55,5,9.067203026216891
64,0.26540408163265305,107,7756,29.0,522.0000000000002,44,6,9.048635050608821
72,0.27736326530612243,97,7210,48.0,702.6000000000006,38,7,9.02671748261086
88,0.28776326530612245,84,13167,45.5,627.4000000000001,26,4,8.996287900078022
96,0.2882530612244898,78,15231,59.5,788.3999999999997,24,6,8.936273816812468
84,0.25870204081632653,95,11536,34.0,467.00000000000006,39,5,8.926061147858196
99,0.2708163265306123,84,9094,31.5,795.4000000000003,35,7,8.846349506186789
74,0.28544489795918365,95,7602,47.0,762.0000000000003,31,8,8.840470963439362
100,0.2671265306122449,91,8832,41.0,957.0,37,9,8.829070683196393
12,0.27048163265306124,64,13304,26.0,1183.7000000000005,29,8,8.735857224388841
61,0.2722857142857143,91,7607,35.0,614.0,35,7,8.720154121676595
101,0.2659183673469388,102,8725,30.5,879.3000000000008,36,9,8.712999931480944
62,0.27653877551020406,85,7567,38.0,623.2,32,7,8.636223282331606
104,0.258065306122449,103,8464,35.0,635.4,39,6,8.60934293863682
106,0.26376326530612243,105,5773,31.0,693.0,42,5,8.592406703470852
76,0.27940408163265307,97,6278,58.0,792.6000000000004,32,7,8.543293838693904
83,0.2529387755102041,101,7042,25.0,607.0,44,7,8.53067089811518
59,0.2733387755102041,84,8560,48.0,692.1000000000001,30,7,8.499376005791852
105,0.2615918367346939,99,7454,29.0,514.4000000000001,37,6,8.484743540682892
65,0.26365714285714287,104,5363,38.0,533.3000000000003,41,7,8.462631773981931
70,0.2844326530612245,84,8170,55.5,775.1000000000005,26,7,8.444817062316616
102,0.2527591836734694,104,8386,39.5,713.1,38,6,8.365879362177015
108,0.25674285714285716,96,5414,30.0,716.5,43,7,8.352462975152166
44,0.25395102040816325,93,7397,37.0,876.1999999999998,39,9,8.345871182297593
85,0.26692244897959183,85,11598,44.0,593.4000000000001,26,6,8.23313307527939
66,0.27183673469387754,92,5111,40.0,582.6,33,7,8.185768656846054
75,0.28868571428571427,88,7224,86.0,943.6999999999997,23,9,8.151898448544053
60,0.2708,85,7542,45.0,741.6000000000012,28,8,8.141461395510921
107,0.26224489795918365,95,5721,49.0,701.2,35,6,8.130868934325392
58,0.27431020408163265,81,8490,59.0,638.0,25,6,8.085354749599002
78,0.2729551020408163,77,8819,67.0,691.4000000000001,25,6,8.07922016862515
71,0.28183673469387754,90,7991,63.0,811.9000000000002,23,8,8.04886697824981
