pore_id,pore_volume_m3,pore_radius_m,shape_factor,clay_volume,pore_volume_um3,pore_radius_um,pore_diameter_um,equivalent_t2_ms
1,7.066931e-11,0.0001896308,0.0278116,0.0,70669310.0,189.6308,379.2616,12642.053333333333
2,3.65036e-11,0.0001478445,0.02401234,0.0,36503600.0,147.8445,295.689,9856.300000000001
3,3.882575e-12,8.55372e-05,0.02259537,0.0,3882574.9999999995,85.5372,171.0744,5702.4800000000005
4,6.57477e-12,8.209085e-05,0.02859256,0.0,6574770.0,82.09085,164.1817,5472.723333333333
5,5.63758e-12,7.377104e-05,0.0281266,0.0,5637580.0,73.77104,147.54208,4918.069333333334
6,2.495543e-12,6.76414e-05,0.02285996,0.0,2495543.0,67.6414,135.2828,4509.426666666667
7,2.564623e-12,6.359299e-05,0.02054359,0.0,2564623.0,63.59299,127.18598,4239.532666666667
8,2.849423e-12,5.73799e-05,0.02886746,0.0,2849423.0,57.3799,114.7598,3825.326666666667
9,1.471818e-12,5.620576e-05,0.02959565,0.0,1471818.0,56.20576,112.41152,3747.0506666666665
10,8.726824e-13,5.53327e-05,0.02525845,0.0,872682.4,55.3327,110.6654,3688.846666666667
11,2.969011e-12,5.484224e-05,0.02306049,0.0,2969011.0,54.84224,109.68448,3656.1493333333333
12,2.717987e-12,5.382433e-05,0.025731,0.0,2717987.0,53.82433,107.64866,3588.288666666667
13,1.556888e-12,5.233834e-05,0.02390059,0.0,1556888.0,52.33834,104.67668,3489.222666666667
14,1.125639e-12,4.926743e-05,0.02407395,0.0,1125639.0,49.26743,98.53486,3284.4953333333333
15,1.188717e-12,4.838871e-05,0.0208078,0.0,1188717.0,48.38871,96.77742,3225.914
16,7.411964e-13,4.855477e-05,0.02148476,0.0,741196.3999999999,48.554770000000005,97.10954000000001,3236.984666666667
17,2.760051e-12,4.503208e-05,0.02369523,0.0,2760051.0,45.03208,90.06416,3002.1386666666667
18,7.363198e-13,4.411542e-05,0.04139435,0.0,736319.8,44.11542,88.23084,2941.0280000000002
19,1.156053e-12,4.48198e-05,0.02704608,0.0,1156053.0,44.8198,89.6396,2987.9866666666667
20,6.448239e-13,4.267061e-05,0.02398021,0.0,644823.9,42.670609999999996,85.34121999999999,2844.7073333333333
21,8.78196e-13,4.232771e-05,0.0286327,0.0,878196.0,42.327709999999996,84.65541999999999,2821.847333333333
22,7.869054e-13,4.208728e-05,0.03080907,0.0,786905.4,42.08728,84.17456,2805.8186666666666
23,8.033686e-13,4.159788e-05,0.02277314,0.0,803368.6000000001,41.59788,83.19576,2773.1920000000005
24,1.491927e-12,4.123627e-05,0.01886349,0.0,1491927.0,41.236270000000005,82.47254000000001,2749.084666666667
25,6.819757e-13,4.093507e-05,0.02977955,0.0,681975.7000000001,40.935069999999996,81.87013999999999,2729.0046666666667
26,1.219541e-12,4.039832e-05,0.02633383,0.0,1219541.0,40.39832,80.79664,2693.2213333333334
27,8.31574e-13,4.065048e-05,0.02642184,0.0,831574.0,40.65048,81.30096,2710.032
28,6.102767e-13,3.997947e-05,0.03485986,0.0,610276.7000000001,39.97947,79.95894,2665.2980000000002
29,2.295925e-13,3.800778e-05,0.02619366,0.0,229592.5,38.00778,76.01556,2533.852
30,1.870332e-13,3.740406e-05,0.02733996,0.0,187033.19999999998,37.40406,74.80812,2493.6040000000003
31,1.070255e-12,3.708854e-05,0.02536466,0.0,1070255.0,37.08854,74.17708,2472.5693333333334
32,3.464909e-13,3.851424e-05,0.03532918,0.0,346490.89999999997,38.51424,77.02848,2567.616
33,4.523903e-13,3.664814e-05,0.03102479,0.0,452390.3,36.648140000000005,73.29628000000001,2443.2093333333337
34,4.460485e-13,3.715916e-05,0.03115634,0.0,446048.5,37.15916,74.31832,2477.2773333333334
35,4.778495e-13,3.614947e-05,0.0405399,0.0,477849.50000000006,36.14947,72.29894,2409.9646666666667
36,7.612693e-13,3.554925e-05,0.02632688,0.0,761269.3,35.54925,71.0985,2369.9500000000003
37,3.61312e-13,3.569094e-05,0.04030898,0.0,361312.0,35.69094,71.38188,2379.3959999999997
38,3.121632e-13,3.519014e-05,0.03006653,0.0,312163.2,35.19014000000001,70.38028000000001,2346.009333333334
39,4.208441e-13,3.487698e-05,0.03363007,0.0,420844.1,34.876979999999996,69.75395999999999,2325.1319999999996
40,2.236613e-13,3.424432e-05,0.0185892,0.0,223661.3,34.24432,68.48864,2282.954666666667
41,7.049364e-13,3.477777e-05,0.02673278,0.0,704936.3999999999,34.777770000000004,69.55554000000001,2318.5180000000005
42,2.339313e-13,3.413347e-05,0.04679576,0.0,233931.3,34.133469999999996,68.26693999999999,2275.5646666666667
43,2.183104e-13,3.434295e-05,0.0370611,0.0,218310.40000000002,34.34295,68.6859,2289.53
44,6.414548e-13,3.431413e-05,0.03901608,0.0,641454.8,34.31413,68.62826,2287.6086666666665
45,4.19195e-13,3.397337e-05,0.03324916,0.0,419195.0,33.97337,67.94674,2264.8913333333335
46,3.151713e-13,3.362776e-05,0.01840754,0.0,315171.3,33.62776,67.25552,2241.8506666666667
47,6.546622e-13,3.30388e-05,0.02801481,0.0,654662.2000000001,33.0388,66.0776,2202.586666666667
48,4.247228e-13,3.345586e-05,0.02796932,0.0,424722.8,33.45586,66.91172,2230.3906666666667
49,8.127539e-14,3.21809e-05,0.03597993,0.0,81275.39,32.1809,64.3618,2145.3933333333334
50,3.087587e-13,3.166141e-05,0.03847575,0.0,308758.7,31.661410000000004,63.32282000000001,2110.760666666667
51,2.475208e-13,3.17488e-05,0.03372372,0.0,247520.8,31.748799999999996,63.49759999999999,2116.5866666666666
52,2.978163e-13,3.152557e-05,0.02862114,0.0,297816.30000000005,31.52557,63.05114,2101.7046666666665
53,1.765579e-13,3.166241e-05,0.04314545,0.0,176557.9,31.662409999999998,63.324819999999995,2110.827333333333
54,4.333437e-13,3.142386e-05,0.03061115,0.0,433343.7,31.42386,62.84772,2094.924
55,5.258517e-13,3.177371e-05,0.02638668,0.0,525851.7,31.773709999999998,63.547419999999995,2118.2473333333332
56,4.829455e-13,3.165729e-05,0.03279782,0.0,482945.5,31.65729,63.31458,2110.486
57,3.666063e-13,3.025219e-05,0.0247581,0.0,366606.30000000005,30.252190000000002,60.504380000000005,2016.812666666667
58,5.753474e-13,3.078271e-05,0.02488326,0.0,575347.4,30.78271,61.56542,2052.1806666666666
59,4.845805e-13,3.127656e-05,0.03112075,0.0,484580.5,31.276560000000003,62.55312000000001,2085.1040000000003
60,3.470288e-13,2.925061e-05,0.02750398,0.0,347028.8,29.25061,58.50122,1950.0406666666668
61,2.411295e-13,2.953558e-05,0.02951892,0.0,241129.50000000003,29.53558,59.07116,1969.0386666666668
62,2.558232e-13,2.897699e-05,0.03140116,0.0,255823.19999999998,28.97699,57.95398,1931.7993333333334
63,1.416781e-13,2.88348e-05,0.03469486,0.0,141678.1,28.8348,57.6696,1922.3200000000002
64,4.485045e-13,2.989456e-05,0.02776805,0.0,448504.5,29.894560000000002,59.789120000000004,1992.9706666666668
65,4.373427e-13,2.915794e-05,0.02009311,0.0,437342.69999999995,29.15794,58.31588,1943.8626666666667
66,1.669815e-13,2.836237e-05,0.02990232,0.0,166981.5,28.36237,56.72474,1890.8246666666666
67,3.452098e-13,2.861319e-05,0.02427611,0.0,345209.8,28.61319,57.22638,1907.546
68,2.407685e-13,2.817558e-05,0.03067139,0.0,240768.49999999997,28.17558,56.35116,1878.372
69,2.02371e-13,2.814159e-05,0.02918456,0.0,202371.0,28.14159,56.28318,1876.1060000000002
70,1.850726e-13,2.759594e-05,0.04727639,0.0,185072.6,27.595940000000002,55.191880000000005,1839.7293333333337
71,2.855362e-13,2.759571e-05,0.03121371,0.0,285536.2,27.59571,55.19142,1839.7140000000002
72,1.304879e-13,2.69211e-05,0.03195804,0.0,130487.90000000001,26.9211,53.8422,1794.74
73,5.433695e-14,3.090109e-05,0.05809327,0.0,54336.95,30.90109,61.80218,2060.072666666667
74,4.520647e-13,2.634655e-05,0.0215688,0.0,452064.69999999995,26.34655,52.6931,1756.4366666666667
75,6.546763e-13,2.664378e-05,0.02390775,0.0,654676.2999999999,26.64378,53.28756,1776.252
76,1.366953e-13,2.623317e-05,0.03710196,0.0,136695.3,26.233169999999998,52.466339999999995,1748.878
77,3.525425e-13,2.588522e-05,0.03382104,0.0,352542.5,25.88522,51.77044,1725.6813333333334
78,1.624163e-13,2.574973e-05,0.02833004,0.0,162416.3,25.74973,51.49946,1716.6486666666667
79,1.361503e-13,2.630973e-05,0.03129269,0.0,136150.3,26.30973,52.61946,1753.982
80,3.221855e-14,2.697672e-05,0.05354344,0.0,32218.550000000003,26.97672,53.95344,1798.448
81,2.505148e-13,2.578976e-05,0.0254149,0.0,250514.80000000002,25.789759999999998,51.579519999999995,1719.3173333333332
82,1.799695e-13,2.602862e-05,0.03352202,0.0,179969.5,26.02862,52.05724,1735.2413333333334
83,8.923801e-14,2.549984e-05,0.02793681,0.0,89238.01,25.49984,50.99968,1699.9893333333334
84,1.015323e-13,2.573883e-05,0.03053899,0.0,101532.3,25.73883,51.47766,1715.922
85,1.690978e-13,2.549241e-05,0.03103772,0.0,169097.8,25.49241,50.98482,1699.4940000000001
86,2.541245e-13,2.547508e-05,0.03009911,0.0,254124.5,25.475080000000002,50.950160000000004,1698.3386666666668
87,1.867359e-13,2.557003e-05,0.02748266,0.0,186735.9,25.57003,51.14006,1704.6686666666667
88,1.511129e-13,2.521999e-05,0.03954333,0.0,151112.9,25.21999,50.43998,1681.3326666666667
89,2.096612e-13,2.473141e-05,0.02689223,0.0,209661.2,24.73141,49.46282,1648.7606666666668
90,1.575255e-13,2.522495e-05,0.02823223,0.0,157525.5,25.22495,50.4499,1681.6633333333334
91,1.467459e-13,2.523069e-05,0.03185815,0.0,146745.90000000002,25.230690000000003,50.461380000000005,1682.0460000000003
92,2.017623e-13,2.525303e-05,0.02486935,0.0,201762.30000000002,25.25303,50.50606,1683.5353333333333
93,1.499309e-13,2.496416e-05,0.0264144,0.0,149930.9,24.96416,49.92832,1664.2773333333334
94,1.574618e-13,2.495182e-05,0.02865995,0.0,157461.8,24.951819999999998,49.903639999999996,1663.4546666666665
95,7.426828e-14,2.42878e-05,0.0313678,0.0,74268.28,24.2878,48.5756,1619.1866666666667
96,1.583819e-13,2.403341e-05,0.02520214,0.0,158381.9,24.03341,48.06682,1602.2273333333335
97,1.371978e-13,2.420105e-05,0.03031673,0.0,137197.80000000002,24.201050000000002,48.402100000000004,1613.4033333333336
98,5.830764e-14,2.381338e-05,0.02614752,0.0,58307.64,23.81338,47.62676,1587.5586666666666
99,2.786635e-13,2.347286e-05,0.01976089,0.0,278663.5,23.47286,46.94572,1564.8573333333334
100,2.140353e-13,2.374076e-05,0.02096673,0.0,214035.3,23.740759999999998,47.481519999999996,1582.7173333333333
