group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean,used_representative_index,used_representative_1_based,weight_slice_count,attempted_representatives,group_output_dir,decay_csv,mesh_png
0,0,14,7,15,0.13451514577640702,0.1443515587659732,0.13835877919962006,7,8,15,7,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_000_slice_0007,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_000_slice_0007\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_000_slice_0007_count_015_mesh.png
1,15,21,18,7,0.14542921299678058,0.15536031527022517,0.15056143659747262,18,19,7,18,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_001_slice_0018,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_001_slice_0018\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_001_slice_0018_count_007_mesh.png
2,22,28,25,7,0.1570241412583755,0.1668515362209056,0.16225846180801134,26,27,7,"25,24,26",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_002_slice_0026,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_002_slice_0026\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_002_slice_0026_count_007_mesh.png
3,29,32,30,4,0.16784351919487053,0.17555167780393005,0.17134871357844333,30,31,4,30,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_003_slice_0030,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_003_slice_0030\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_003_slice_0030_count_004_mesh.png
4,33,39,36,7,0.17873278684089494,0.18858272687101515,0.18346338616608887,33,34,7,"36,35,37,34,38,33",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_004_slice_0033,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_004_slice_0033\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_004_slice_0033_count_007_mesh.png
5,40,51,45,12,0.1901744086428771,0.2000198396594793,0.19542440338236136,45,46,12,45,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_005_slice_0045,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_005_slice_0045\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_005_slice_0045_count_012_mesh.png
6,52,59,55,8,0.20125305485665845,0.2107287467647828,0.20505499869238608,55,56,8,55,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_006_slice_0055,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_006_slice_0055\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_006_slice_0055_count_008_mesh.png
7,60,63,61,4,0.2132087041996952,0.22187051916781647,0.21746972197422648,61,62,4,61,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_007_slice_0061,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_007_slice_0061\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_007_slice_0061_count_004_mesh.png
8,64,67,65,4,0.22490508526544561,0.2329085842599356,0.2291148130112094,65,66,4,65,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_008_slice_0065,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_008_slice_0065\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_008_slice_0065_count_004_mesh.png
9,68,72,70,5,0.23560271983695408,0.24489354219083947,0.24045847649451252,70,71,5,70,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_009_slice_0070,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_009_slice_0070\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_009_slice_0070_count_005_mesh.png
10,73,80,76,8,0.24612450288125964,0.25571968364761155,0.251035100415731,76,77,8,76,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_010_slice_0076,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_010_slice_0076\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_010_slice_0076_count_008_mesh.png
11,81,91,86,11,0.2510573636699763,0.2593471850228607,0.25661759220317776,86,87,11,86,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_011_slice_0086,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_011_slice_0086\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_011_slice_0086_count_011_mesh.png
12,92,97,94,6,0.2407723038353669,0.24901027153279406,0.244800355911467,93,94,6,"94,95,93",C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_012_slice_0093,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\group_runs\group_012_slice_0093\average_normalized_decay.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_porosity_grouped_nmr_topaxis\representative_mesh_figures\group_012_slice_0093_count_006_mesh.png
