group_id,start_index,end_index,representative_index,slice_count,porosity_min,porosity_max,porosity_mean
0,0,14,7,15,0.13451514577640702,0.1443515587659732,0.13835877919962006
1,15,21,18,7,0.14542921299678058,0.15536031527022517,0.15056143659747262
2,22,28,25,7,0.1570241412583755,0.1668515362209056,0.16225846180801134
3,29,32,30,4,0.16784351919487053,0.17555167780393005,0.17134871357844333
4,33,39,36,7,0.17873278684089494,0.18858272687101515,0.18346338616608887
5,40,51,45,12,0.1901744086428771,0.2000198396594793,0.19542440338236136
6,52,59,55,8,0.20125305485665845,0.2107287467647828,0.20505499869238608
7,60,63,61,4,0.2132087041996952,0.22187051916781647,0.21746972197422648
8,64,67,65,4,0.22490508526544561,0.2329085842599356,0.2291148130112094
9,68,72,70,5,0.23560271983695408,0.24489354219083947,0.24045847649451252
10,73,80,76,8,0.24612450288125964,0.25571968364761155,0.251035100415731
11,81,91,86,11,0.2510573636699763,0.2593471850228607,0.25661759220317776
12,92,97,94,6,0.2407723038353669,0.24901027153279406,0.244800355911467
13,98,102,100,5,0.2297004211418626,0.2387116846576306,0.23391905418932443
14,103,126,114,24,0.22589030471913354,0.23484069655240827,0.23090930645360075
15,127,173,150,47,0.21476431386341296,0.22345543741940138,0.21988631337874198
16,174,195,184,22,0.20997348700051402,0.21909747585423262,0.2138830066757995
17,196,200,198,5,0.22040508977445913,0.22983118253388524,0.22502592682772865
18,201,216,208,16,0.2328251675098522,0.24104509915320727,0.23806168217767315
19,217,240,228,24,0.2206012318624931,0.2305458611764918,0.22600011798585373
20,241,253,247,13,0.22120318516714912,0.2310057805553301,0.22804942849987894
21,254,259,256,6,0.20991712433153875,0.21972648323999674,0.21582956830704578
22,260,263,261,4,0.1982973964955947,0.20681717753789827,0.20278950121292466
23,264,269,266,6,0.18732020308596886,0.19658622586550514,0.19194569945320694
24,270,277,273,8,0.17513008503999494,0.18444796147498851,0.1791619885651417
25,278,283,280,6,0.16557773990206423,0.17425082740398057,0.1706932157382608
26,284,290,287,7,0.15485756026296568,0.16325785244704163,0.15940618868546794
27,291,295,293,5,0.1429763096429763,0.15200786371957542,0.14742354967580193
28,296,303,299,8,0.1319900982063144,0.14055722389055722,0.13549613802992183
29,304,308,306,5,0.12136460785109433,0.1301639477315153,0.12553995436878324
30,309,315,312,7,0.11059708357005654,0.11965118271424578,0.1155367078790502
31,316,320,318,5,0.09957480002525047,0.10802469135802469,0.10404278152025899
32,321,323,322,3,0.08955351748144541,0.0963373283193103,0.0929352776199623
33,324,326,325,3,0.07770833896960024,0.08560362163965768,0.08145157169181194
34,327,330,328,4,0.06387919450982514,0.07349015682349015,0.06817233900567234
35,331,337,334,7,0.053195086978870765,0.0626685243802361,0.05804195443835083
36,338,351,344,14,0.05156958760562364,0.06016151286421557,0.05382312814745247
37,352,356,354,5,0.06225369513657802,0.07210588967345724,0.06737909080251422
38,357,362,359,6,0.07384185987789592,0.08344154965776587,0.0790832123414706
39,363,370,366,8,0.08428022617211807,0.09300065831597364,0.08829832084336589
40,371,381,376,11,0.0949936422909396,0.10480074669263859,0.10106277448619791
41,382,393,387,12,0.10521332142953764,0.11476566656746837,0.10926598520442364
42,394,400,397,7,0.11605073542010479,0.12490869247626005,0.12024347384707744
43,401,410,405,10,0.12725112499887276,0.13706048390733075,0.13276316857397938
44,411,422,416,12,0.13844024204384564,0.14691042393745096,0.14205027099171244
45,423,429,426,7,0.14864639414188963,0.1582438294150006,0.15402757970325537
46,430,441,435,12,0.15435480525570616,0.1626897167437708,0.16038147757366977
47,442,449,445,8,0.14380145911677444,0.1525421818214611,0.14901077879681485
48,450,499,474,50,0.13501790078366654,0.1446153360567775,0.13868539710882055
49,500,517,508,18,0.13375537699862025,0.14268547827106387,0.1372920718516314
50,518,533,525,16,0.1438961484006529,0.15323431539647756,0.14716250597444291
51,534,539,536,6,0.15462985508030552,0.16374933492050608,0.1589840591342093
52,540,544,542,5,0.1662315468621775,0.17426660895129364,0.1704330456582709
53,545,559,552,15,0.17650984317650983,0.18590437284130978,0.18253899545190835
54,560,569,564,10,0.18663934204474744,0.19608572536500465,0.1896921696471246
55,570,582,576,13,0.1986986986986987,0.20815635455275094,0.2043184903545264
56,583,593,588,11,0.20944818692566441,0.21939281623966309,0.21455853888286322
57,594,605,599,12,0.22113554996437879,0.230182885588291,0.2266241466691917
58,606,615,610,10,0.2314048282516751,0.24132240348456566,0.23616071025980934
59,616,628,622,13,0.24329058788518249,0.25239203167131097,0.24704659614569527
60,629,651,640,23,0.25351703054405755,0.2631730829929028,0.26062058925357007
61,652,675,663,24,0.2642281921561201,0.2731853475096718,0.2682396172448725
62,676,708,692,33,0.2659506353200047,0.2758411564717871,0.2709733347871486
63,709,731,720,23,0.25509067626184745,0.2647512377242107,0.2600997001702055
64,732,737,734,6,0.24414730045360675,0.253803352902452,0.24914028142256373
65,738,746,742,9,0.23304160015871728,0.2421317714110507,0.23689530371212053
66,747,756,751,10,0.22196520845169493,0.2314634454274094,0.22567251936621308
67,757,769,763,13,0.21088205322439557,0.22030363697030364,0.2149771046167443
68,770,793,781,24,0.20110425741056373,0.21014708402095789,0.20675978155332508
69,794,799,796,6,0.1935922408895382,0.1999183868553238,0.19714233753272792
