slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
0,1,61221,382335,443556,0.13802315829342857
1,2,59848,383708,443556,0.1349277205133061
2,3,59665,383891,443556,0.13451514577640702
3,4,60069,383487,443556,0.13542596650704758
4,5,60351,383205,443556,0.13606173741308877
5,6,60716,382840,443556,0.13688463238012788
6,7,61039,382517,443556,0.1376128380632885
7,8,61321,382235,443556,0.1382486089693297
8,9,61204,382352,443556,0.13798483167852538
9,10,61264,382292,443556,0.13812010208406605
10,11,61809,381747,443556,0.1393488082677272
11,12,62146,381410,443556,0.140108577045514
12,13,62577,380979,443556,0.14108026945864785
13,14,63290,380266,443556,0.14268773277782287
14,15,64028,379528,443556,0.1443515587659732
15,16,64506,379050,443556,0.14542921299678058
16,17,64957,378599,443556,0.14644599554509463
17,18,65921,377635,443556,0.1486193400607815
18,19,67126,376430,443556,0.15133602070539007
19,20,67731,375825,443556,0.15269999729459188
20,21,68325,375231,443556,0.15403917430944458
21,22,68911,374645,443556,0.15536031527022517
22,23,69649,373907,443556,0.1570241412583755
23,24,70422,373134,443556,0.1587668749830912
24,25,71270,372286,443556,0.16067869671473275
25,26,72125,371431,443556,0.1626062999936874
26,27,72853,370703,443556,0.16424758091424757
27,28,73468,370088,443556,0.1656341025710395
28,29,74008,369548,443556,0.1668515362209056
29,30,74448,369108,443556,0.16784351919487053
30,31,75184,368372,443556,0.16950283616950285
31,32,76512,367044,443556,0.1724968211454698
32,33,77867,365689,443556,0.17555167780393005
33,34,79278,364278,443556,0.17873278684089494
34,35,80083,363473,443556,0.18054766478189901
35,36,80731,362825,443556,0.18200858516173832
36,37,81255,362301,443556,0.18318994670346023
37,38,81936,361620,443556,0.18472526580634688
38,39,82704,360852,443556,0.18645672699726754
39,40,83647,359909,443556,0.18858272687101515
40,41,84353,359203,443556,0.1901744086428771
41,42,84655,358901,443556,0.19085526968409852
42,43,85205,358351,443556,0.1920952484015547
43,44,85848,357708,443556,0.19354489624759896
44,45,86304,357252,443556,0.1945729513297081
45,46,86904,356652,443556,0.19592565538511483
46,47,86960,356596,443556,0.19605190776361947
47,48,87213,356343,443556,0.19662229797364933
48,49,87744,355812,443556,0.19781944106268431
49,50,88100,355456,443556,0.1986220454688923
50,51,88174,355382,443556,0.19878887896905914
51,52,88720,354836,443556,0.2000198396594793
52,53,89267,354289,443556,0.20125305485665845
53,54,89760,353796,443556,0.20236452668885102
54,55,89900,353656,443556,0.2026801576351126
55,56,90186,353370,443556,0.2033249465681898
56,57,90856,352700,443556,0.20483546609672737
57,58,91662,351894,443556,0.20665259854449045
58,59,92526,351030,443556,0.20860049238427616
59,60,93470,350086,443556,0.2107287467647828
60,61,94570,348986,443556,0.2132087041996952
61,62,95848,347708,443556,0.2160899638377116
62,63,97010,346546,443556,0.21870970069168266
63,64,98412,345144,443556,0.22187051916781647
64,65,99758,343798,443556,0.22490508526544561
65,66,101194,342362,443556,0.2281425569713858
66,67,102241,341315,443556,0.2305030255480706
67,68,103308,340248,443556,0.2329085842599356
68,69,104503,339053,443556,0.23560271983695408
69,70,105723,337833,443556,0.23835321808294782
70,71,106781,336775,443556,0.24073848623398172
71,72,107653,335903,443556,0.24270441612783955
72,73,108624,334932,443556,0.24489354219083947
73,74,109170,334386,443556,0.24612450288125964
74,75,109670,333886,443556,0.24725175626076526
75,76,110311,333245,443556,0.2486968950932915
76,77,110958,332598,443556,0.25015556096637176
77,78,111607,331949,443556,0.25161873585297007
78,79,112558,330998,443556,0.2537627717807898
79,80,113085,330471,443556,0.2549508968427887
80,81,113426,330130,443556,0.25571968364761155
81,82,114124,329432,443556,0.25729332936540145
82,83,114743,328813,443556,0.2586888690492294
83,84,115035,328521,443556,0.2593471850228607
84,85,115024,328532,443556,0.25932238544851155
85,86,114848,328708,443556,0.2589255922589256
86,87,114845,328711,443556,0.2589188287386486
87,88,114064,329492,443556,0.25715805895986077
88,89,113399,330157,443556,0.25565881196511825
89,90,112709,330847,443556,0.2541032023014005
90,91,111918,331638,443556,0.2523198874550226
91,92,111358,332198,443556,0.2510573636699763
92,93,110450,333106,443556,0.24901027153279406
93,94,109512,334044,443556,0.2468955441928415
94,95,108911,334645,443556,0.2455405856306757
95,96,108206,335350,443556,0.24395115836557277
96,97,107621,335935,443556,0.24263227191155118
97,98,106796,336760,443556,0.2407723038353669
98,99,105882,337674,443556,0.2387116846576306
99,100,104841,338715,443556,0.23636474312149988
100,101,103595,339961,443556,0.23355562769977184
101,102,102578,340978,443556,0.2312627943258574
102,103,101885,341671,443556,0.2297004211418626
103,104,101117,342439,443556,0.22796895995094194
104,105,100736,342820,443556,0.22710999287575864
105,106,100708,342848,443556,0.22704686668650634
106,107,100908,342648,443556,0.22749776803830857
107,108,101231,342325,443556,0.22822597372146922
108,109,101678,341878,443556,0.22923373824274726
109,110,102329,341227,443556,0.23070142214286357
110,111,102739,340817,443556,0.2316257699140582
111,112,102705,340851,443556,0.23154911668425182
112,113,102740,340816,443556,0.2316280244208172
113,114,102877,340679,443556,0.23193689184680175
