time_ms,signal,normalized_signal
0.6,3.2172,1.0
1.2,3.15292,0.9800198930747234
1.8,3.25248,1.0109660574412531
2.4,3.18969,0.9914490861618799
3.0,3.17509,0.9869109784906129
3.6,3.20602,0.9965249285092628
4.2,3.19411,0.992822951634962
4.8,3.13572,0.9746736292428199
5.4,3.11858,0.9693460151684695
6.0,3.02673,0.9407963446475196
6.6,3.01724,0.9378465746611961
7.2,3.05223,0.9487224916076091
7.8,3.09443,0.9618394877533258
8.4,3.05237,0.9487660077085663
9.0,3.02615,0.9406160636578391
9.6,2.98332,0.9273032450578143
10.2,3.04762,0.947289568568942
10.8,2.91584,0.9063284843963696
11.4,2.88569,0.8969569812259107
12.0,3.05469,0.9494871316672883
12.6,3.02755,0.9410512246674126
13.2,2.97481,0.9246580877781923
13.8,2.95871,0.9196537361680964
14.4,2.98751,0.9286056197936093
15.0,2.97101,0.9234769364664926
15.6,2.99396,0.9306104687305732
16.2,2.9498,0.9168842471714534
16.8,2.86095,0.8892670645281611
17.4,2.88833,0.8977775705582494
18.0,2.89343,0.8993627999502672
18.6,2.95647,0.9189574785527788
19.2,2.83114,0.8800012433171702
19.8,2.95723,0.9191937088151187
20.4,2.8485,0.8853972398358821
21.0,2.85349,0.8869482780057192
21.6,2.84601,0.8846232748974263
22.2,2.89785,0.9007366654233495
22.8,2.8687,0.8916759915454432
23.4,2.88874,0.8979050105681959
24.0,2.85687,0.8879988810145467
24.6,2.80161,0.870822454308094
25.2,2.84258,0.8835571304239711
25.8,2.81467,0.87488188486883
26.4,2.89326,0.8993099589705335
27.0,2.81571,0.8752051473330847
27.6,2.7938,0.8683948775332587
28.2,2.7383,0.8511438517965934
28.8,2.70147,0.8396960089518837
29.4,2.83818,0.8821894815367399
30.0,2.85168,0.8863856769861992
30.6,2.78797,0.8665827427576774
31.2,2.80687,0.8724574163869203
31.8,2.71004,0.8423598159890587
32.4,2.81067,0.8736385676986199
33.0,2.80466,0.8717704836503792
33.6,2.82265,0.8773623026233992
34.2,2.81456,0.8748476936466493
34.8,2.7211,0.8457975879646897
35.4,2.76908,0.8607111774213603
36.0,2.74264,0.8524928509262714
36.6,2.6965,0.8381511873678975
37.2,2.7563,0.8567387790625388
37.8,2.75456,0.8561979360934975
38.4,2.72722,0.8476998632351113
39.0,2.66417,0.8281020763396743
39.6,2.60476,0.8096357080691284
40.2,2.76246,0.8586534875046624
40.8,2.70825,0.8418034315553897
41.4,2.7308,0.8488126321024493
42.0,2.6388,0.8202163371876164
42.6,2.69481,0.8376258858634837
43.2,2.67382,0.8311015790128061
43.8,2.71687,0.8444827800571926
44.4,2.69669,0.8382102449334825
45.0,2.67387,0.8311171204774338
45.6,2.62159,0.8148669650627874
46.2,2.63848,0.8201168718139997
46.8,2.65884,0.8264453562103693
47.4,2.68086,0.8332898172323759
48.0,2.6496,0.8235732935471839
48.6,2.70944,0.8421733184135273
49.2,2.63419,0.8187834141489493
49.8,2.61416,0.8125575034191223
50.4,2.59692,0.8071988064155166
51.0,2.63986,0.8205458162377223
51.6,2.61436,0.8126196692776327
52.2,2.65866,0.8263894069377097
52.8,2.63696,0.81964441128932
53.4,2.6445,0.8219880641551659
54.0,2.65744,0.8260101952007957
54.6,2.61134,0.8116809648141241
55.2,2.64572,0.82236727589208
55.8,2.57628,0.8007832898172323
56.4,2.5931,0.806011438517966
57.0,2.53262,0.7872124829043889
57.6,2.64478,0.8220750963570806
58.2,2.58694,0.8040967300758423
58.8,2.68116,0.8333830660201418
