sequence_id,slice_index_0_based,slice_index_1_based,phase_png,mesh_png,pygimli_mesh_bms,mesh_quality_csv,mesh_quality_histogram_png,mesh_nodes,mesh_triangles,plc_outer_contours,plc_hole_contours,unused_pygimli_nodes_dropped,triangle_max_area_um2,solid_liquid_boundary_length_um,gas_liquid_boundary_length_um,mesh_bulk_size_um,mesh_boundary_size_um,pygimli_bms_written,mesh_vertices,boundary_edges,min_element_quality,mean_element_quality,median_element_quality,p05_element_quality,p95_element_quality,min_element_area_um2,mean_element_area_um2,max_element_area_um2,element_area_ratio_min_over_max,mesh_area_um2,max_aspect_edge_ratio,mean_aspect_edge_ratio
1,14,15,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0014.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0014_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0014_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0014_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0014_mesh_quality_histogram.png,8195,11489,196,21,0,62.35382907247958,20782.241513225763,354.9999999999999,12.0,5.0,True,8195,4549,6.871987345179765e-14,0.9386278870151219,0.9596196310617077,0.8174982044455553,0.9972083144261618,2.3294396033338283e-13,20.018081396284995,75.62436410629286,3.0802766156945323e-15,229987.7371619183,19.62955220302929,1.3291296235848704
2,21,22,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0021.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0021_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0021_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0021_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0021_mesh_quality_histogram.png,8787,12294,204,10,9,62.35382907247958,22282.935919448777,494.99999999999966,12.0,5.0,True,8787,4886,3.4322372927672386e-16,0.9385824159920656,0.9600251552684602,0.8156591413028391,0.9969976739106303,2.220446049250313e-15,20.205611800545178,70.21847433674557,3.162196373851356e-17,248407.79147590243,16.738254921759076,1.3208565876118867
3,121,122,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0121.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0121_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0121_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0121_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0121_mesh_quality_histogram.png,7183,9244,299,17,1008,62.35382907247958,20596.386731993236,195.0,12.0,5.0,True,7183,4540,1.1570402097323217e-13,0.9331807287933291,0.9581574717512661,0.7991184060394879,0.997052283716463,4.675932232325237e-13,18.281581707637965,79.31204252078021,5.8956144410227696e-15,168994.94130540534,17.27132127217621,1.344766221626557
4,193,194,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0193.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0193_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0193_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0193_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0193_mesh_quality_histogram.png,10576,15015,325,17,31,62.35382907247958,25338.02190744034,109.99999999999996,12.0,5.0,True,10576,5513,1.425038883132472e-16,0.943129591389802,0.9632873625927861,0.8251266672911335,0.9977447558671086,7.923955941434967e-16,22.797416277356675,77.41808408805129,1.0235277758130353e-17,342303.2054045105,16.69754257020407,1.3082436221158005
5,428,429,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0428.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0428_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0428_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0428_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0428_mesh_quality_histogram.png,6405,9775,138,14,8,62.35382907247958,12735.575239864864,155.0,12.0,5.0,True,6405,2785,0.05422757193051115,0.9453730337419661,0.9650738584310826,0.8314858681290236,0.9974248525673799,0.23788717985208252,25.37470339940409,77.23013222915911,0.0030802378940154853,248037.72572917497,18.66847081638583,1.3046196702283306
6,574,575,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0574.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0574_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0574_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0574_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0574_mesh_quality_histogram.png,9416,13441,194,18,104,62.35382907247958,22971.690211620917,464.99999999999983,12.0,5.0,True,9416,5027,0.1001165531017091,0.9407610366614075,0.9604300158518916,0.8236020746352465,0.9972087370348667,0.2273971699571074,20.55952192712437,75.75814099368134,0.0030016202479951778,276340.5342224786,17.271321272169324,1.314376089138607
7,582,583,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0582.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0582_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0582_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0582_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0582_mesh_quality_histogram.png,9407,13448,221,28,74,62.35382907247958,22606.677886610283,460.0000000000001,12.0,5.0,True,9407,4974,0.012437247876018225,0.9393073784468894,0.9608404534419897,0.8184630423438819,0.9971894953909033,0.0017731300775862674,20.63582551981752,78.75281053109391,2.251513394415535e-05,277510.581590506,112.66679729062128,1.3291033684812552
8,616,617,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0616.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0616_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0616_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0616_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0616_mesh_quality_histogram.png,10125,14466,250,14,35,62.35382907247958,23890.67225199153,700.0000000000005,12.0,5.0,True,10125,5304,0.008005237910711142,0.9404126925935097,0.9610271929565122,0.8178252632546159,0.9972732721706274,0.0006067064415596021,20.995315143595008,84.27530439950505,7.199101158786978e-06,303718.2288672454,116.81275585316602,1.3419690038925247
9,640,641,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0640.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0640_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0640_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0640_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0640_mesh_quality_histogram.png,10277,14767,258,16,96,62.35382907247958,23860.123766539196,704.9999999999999,12.0,5.0,True,10277,5295,0.08961047828024418,0.942885495640854,0.962955959357516,0.8258623527239117,0.9974312226766618,0.14650030001965736,22.53509880959327,82.71449034741798,0.0017711564129129706,332775.8041212638,17.518847017721065,1.305773647052486
10,691,692,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\phase_png\sample16_slice_0691.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0691_triangular_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0691_triangular_mesh.bms,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0691_mesh_quality.csv,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\sample_16_random10_nmr_px1p92_b5\sample16_slice_0691_mesh_quality_histogram.png,11536,16482,276,20,164,62.35382907247958,27562.203333149868,629.9999999999995,12.0,5.0,True,11536,6074,0.10011655310173753,0.9420009588502978,0.9613617299903224,0.8256120739097237,0.9971416837707456,0.13437446748989396,20.874207485598756,75.75757806184149,0.00177374291691589,344048.68777763867,17.271321272164403,1.3101848338266195
